"code_muni","year","biome","LV","LTA","UR","SDII","TASMAX","TASMIN","PREC_MEAN","PREC_SUM"
"3527702",2003,"Mata Atlantica",0,0,72.9233333333333,4.59166666666667,26.1725,19.7883333333333,3.87833333333333,117.618333333333
"3527801",2003,"Mata Atlantica",0,0,73.4641666666667,4.475,26.1191666666667,18.4141666666667,4.27416666666667,129.305
"3527900",2003,"Mata Atlantica",0,0,79.99,5.01666666666667,24.0358333333333,18.2983333333333,4.10666666666667,124.264166666667
"3528007",2003,"Mata Atlantica",0,0,64.5191666666667,4.61666666666667,28.9608333333333,18.5491666666667,4.1625,126.081666666667
"3528106",2003,"Mata Atlantica",0,0,64.1791666666667,4.64166666666667,29.1091666666667,18.2616666666667,4.20583333333333,128.299166666667
"3528205",2003,"Mata Atlantica",0,0,68.2841666666667,4.49166666666667,27.2841666666667,18.6558333333333,4.17166666666667,126.34
"3528304",2003,"Mata Atlantica",0,0,71.1091666666667,4.51666666666667,26.7283333333333,15.42,4.14,125.334166666667
"3528403",2003,"Mata Atlantica",0,0,79.3525,4.73333333333333,24.4825,15.3383333333333,3.94833333333333,119.483333333333
"3528502",2003,"Mata Atlantica",0,0,64.0425,4.58333333333333,29.3316666666667,15.6216666666667,4.125,124.784166666667
"3528601",2003,"Mata Atlantica",0,0,67.2916666666667,4.39166666666667,27.2916666666667,15.3208333333333,4.04416666666667,123.3125
"3528700",2003,"Mata Atlantica",0,0,70.6791666666667,4.65833333333333,26.7683333333333,15.6541666666667,3.99916666666667,121.4225
"3528809",2003,"Mata Atlantica",0,0,79.16,4.75,24.6375,16.9025,4.68,141.6525
"3528858",2003,"Mata Atlantica",0,0,83.975,5.55,23.7816666666667,16.8691666666667,4.34916666666667,131.904166666667
"3528908",2003,"Mata Atlantica",0,0,84.3808333333333,6.1,23.3891666666667,17.0733333333333,4.42833333333333,134.585
"3529104",2003,"Mata Atlantica",0,0,75.7733333333333,4.725,24.8058333333333,16.77,4.6175,140.904166666667
"3529203",2003,"Mata Atlantica",0,0,66.3375,4.475,28.03,16.9975,4.49833333333333,136.6475
"3529500",2003,"Mata Atlantica",0,0,65.0016666666667,4.575,28.9758333333333,18.98,4.34416666666667,131.421666666667
"3529609",2003,"Cerrado",0,0,82.465,5.24166666666667,23.9908333333333,18.7916666666667,4.2275,128.129166666667
"3529658",2003,"Mata Atlantica",0,0,66.4991666666667,4.35,29.3275,19.0808333333333,4.2325,128.195833333333
"3529708",2003,"Cerrado",0,0,81.8675,5.05833333333333,24.12,18.8875,4.31166666666667,131.485
"3529807",2003,"Cerrado",0,0,85.9858333333333,4.93333333333333,24.1725,19.195,4.22083333333333,127.9875
"3530003",2003,"Mata Atlantica",0,0,65.1925,4.75833333333333,28.6416666666667,15.995,4.2275,128.125
"3529906",2003,"Mata Atlantica",0,0,70.68,4.50833333333333,26.4491666666667,15.7966666666667,4.2275,128.100833333333
"3530201",2003,"Mata Atlantica",0,0,79.9408333333333,4.85833333333333,24.4716666666667,16.0375,4.24333333333333,128.585833333333
"3530300",2003,"Mata Atlantica",0,0,76.5425,4.625,24.84,15.9141666666667,4.22166666666667,128.76
"3530409",2003,"Cerrado",0,0,81.5266666666667,5.23333333333333,23.95,16.255,3.92416666666667,119.1675
"3530508",2003,"Cerrado",0,0,83.6483333333333,5.59166666666667,23.2083333333333,19.17,3.98583333333333,120.464166666667
"3530607",2003,"Mata Atlantica",0,0,69.8583333333333,4.59166666666667,27.0625,19.075,3.8175,115.595833333333
"3530706",2003,"Cerrado",0,0,85.7958333333333,4.75833333333333,23.785,19.2875,3.92833333333333,118.965
"3530805",2003,"Cerrado",0,0,84.3808333333333,6.1,23.3891666666667,19.025,3.885,118.535833333333
"3530904",2003,"Mata Atlantica",0,0,69.3958333333333,4.41666666666667,27.1591666666667,19.3966666666667,3.9775,120.56
"3531001",2003,"Mata Atlantica",0,0,66.06,4.875,28.1666666666667,15.2466666666667,4.22083333333333,127.89
"3531100",2003,"Mata Atlantica",0,0,71.7841666666667,4.38333333333333,26.3583333333333,15.1108333333333,4.05083333333333,122.67
"3531209",2003,"Mata Atlantica",0,0,83.6391666666667,5.08333333333333,23.925,15.3875,4.25333333333333,129.0325
"3531308",2003,"Mata Atlantica",0,0,78.7833333333333,4.56666666666667,24.9533333333333,15.1825,4.1575,126.775833333333
"3531407",2003,"Mata Atlantica",0,0,73.6091666666667,4.21666666666667,26.0366666666667,15.5041666666667,3.97833333333333,121.006666666667
"3531506",2003,"Mata Atlantica",0,0,83.12,4.7,24.0666666666667,16.2616666666667,4.3025,130.1925
"3531605",2003,"Mata Atlantica",0,0,82.465,5.24166666666667,23.9908333333333,16.1616666666667,4.04083333333333,122.218333333333
"3531803",2003,"Mata Atlantica",0,0,64.6758333333333,4.60833333333333,29.55,16.435,4.12833333333333,125.018333333333
"3531704",2003,"Mata Atlantica",0,0,71.2625,4.69166666666667,25.9633333333333,16.1458333333333,4.18,127.554166666667
"3531902",2003,"Cerrado",0,0,72.265,4.55833333333333,25.9483333333333,16.5008333333333,4.12583333333333,125.121666666667
"3532009",2003,"Mata Atlantica",0,0,64.6483333333333,4.43333333333333,29.965,18.83,4.1825,126.580833333333
"3532058",2003,"Cerrado",0,0,64.835,4.69166666666667,28.695,18.6158333333333,4.0925,123.999166666667
"3532108",2003,"Mata Atlantica",0,0,64.835,4.675,28.695,18.9066666666667,4.1075,124.4025
"3532157",2003,"Mata Atlantica",0,0,64.4175,4.60833333333333,28.9633333333333,18.7441666666667,4.0975,124.929166666667
"3532207",2003,"Mata Atlantica",0,0,75.255,4.45833333333333,25.4616666666667,19.0758333333333,3.95666666666667,120.151666666667
"3532306",2003,"Mata Atlantica",0,0,76.0591666666667,4.26666666666667,25.5683333333333,16.7008333333333,4.1425,125.313333333333
"3532405",2003,"Mata Atlantica",0,0,75.5475,4.275,25.7666666666667,16.585,3.89166666666667,117.81
"3532504",2003,"Mata Atlantica",0,0,71.4141666666667,4.18333333333333,26.6225,16.8575,3.94833333333333,119.625
"3532603",2003,"Mata Atlantica",0,0,71.7841666666667,4.38333333333333,26.3583333333333,16.585,4.01333333333333,122.466666666667
"3532702",2003,"Mata Atlantica",0,0,64.6575,4.63333333333333,28.855,16.9525,3.97083333333333,120.435
"3532801",2003,"Mata Atlantica",0,0,65.6783333333333,4.80833333333333,28.4575,13.815,5.1125,154.911666666667
"3532827",2003,"Mata Atlantica",0,0,64.8691666666667,4.49166666666667,28.6725,13.7225,5.025,152.305833333333
"3532843",2003,"Mata Atlantica",0,0,71.9125,4.575,25.8966666666667,13.9625,5.15333333333333,156.33
"3532868",2003,"Mata Atlantica",0,0,73.9133333333333,4.35833333333333,26.0508333333333,13.7858333333333,5.11166666666667,155.9
"3532900",2003,"Cerrado",0,0,71.16,4.16666666666667,26.5841666666667,14.0266666666667,4.85583333333333,147.689166666667
"3533007",2003,"Cerrado",0,0,64.5191666666667,4.58333333333333,28.9608333333333,19.065,4.34083333333333,131.350833333333
"3533106",2003,"Mata Atlantica",0,NA,76.0808333333333,4.45833333333333,24.8991666666667,18.8841666666667,4.22,127.855
"3533205",2003,"Mata Atlantica",0,0,70.64,4.73333333333333,26.6266666666667,19.1691666666667,4.2025,127.259166666667
"3533304",2003,"Mata Atlantica",0,0,71.8891666666667,4.31666666666667,26.2066666666667,18.9816666666667,4.34833333333333,132.545
"3533403",2003,"Mata Atlantica",0,0,64.9733333333333,4.65833333333333,29.4933333333333,19.2916666666667,4.20666666666667,127.599166666667
"3533254",2003,"Mata Atlantica",0,0,83.6208333333333,5.44166666666667,23.9625,16.0233333333333,4.1425,125.515
"3533502",2003,"Mata Atlantica",0,0,68.3508333333333,4.45833333333333,27.2966666666667,15.8208333333333,4.075,123.525833333333
"3533601",2003,"Cerrado",0,0,68.6716666666667,4.38333333333333,26.7708333333333,16.0583333333333,4.1225,124.96
"3533700",2003,"Mata Atlantica",0,0,68.6608333333333,4.40833333333333,27.4116666666667,15.9616666666667,4.10333333333333,125.055
"3533809",2003,"Mata Atlantica",0,0,84.1183333333333,6.21666666666667,23.07,16.29,3.78,114.764166666667
"3533908",2003,"Mata Atlantica",0,0,83.39,5.3,24.1616666666667,15.2466666666667,4.22083333333333,127.89
"3534005",2003,"Cerrado",0,0,83.9775,5.825,23.59,15.1108333333333,4.05083333333333,122.67
"3534104",2003,"Mata Atlantica",0,0,69.9358333333333,4.70833333333333,26.8483333333333,15.3875,4.25333333333333,129.0325
"3534203",2003,"Cerrado",0,0,83.6158333333333,5.53333333333333,23.9541666666667,15.1825,4.1575,126.775833333333
"3534302",2003,"Cerrado",0,0,63.9333333333333,4.68333333333333,29.7991666666667,15.5041666666667,3.97833333333333,121.006666666667
"3534401",2003,"Mata Atlantica",0,0,76.0958333333333,4.725,24.5666666666667,17.1908333333333,4.0875,123.6575
"3534500",2003,"Mata Atlantica",0,0,67.2616666666667,4.825,27.7883333333333,17.0941666666667,3.8075,115.161666666667
"3534609",2003,"Mata Atlantica",0,0,70.8408333333333,4.46666666666667,26.8341666666667,17.3333333333333,3.82666666666667,115.933333333333
"3534807",2003,"Mata Atlantica",0,0,64.0425,4.625,29.8225,17.0116666666667,3.975,121.29
"3534757",2003,"Mata Atlantica",0,0,69.5866666666667,4.40833333333333,27.1258333333333,17.435,3.9075,118.535
"3534906",2003,"Mata Atlantica",0,0,64.9641666666667,4.375,29.6833333333333,16.12,5.35833333333333,162.190833333333
"3535002",2003,"Cerrado",0,0,69.1091666666667,4.575,27.21,16.1166666666667,5.05833333333333,153.298333333333
"3535101",2003,"Mata Atlantica",0,0,67.6033333333333,4.5,27.6458333333333,16.3283333333333,4.99083333333333,151.42
"3535200",2003,"Mata Atlantica",0,0,68.0083333333333,4.55,27.6891666666667,16.06,5.2275,159.389166666667
"3535309",2003,"Mata Atlantica",0,0,85.7841666666667,5.06666666666667,24.1608333333333,16.235,5.27583333333333,160.393333333333
"3535408",2003,"Mata Atlantica",0,0,73.6091666666667,4.21666666666667,26.0366666666667,18.6333333333333,4.22,127.608333333333
"3535507",2003,"Mata Atlantica",0,0,64.3675,4.53333333333333,28.7841666666667,18.4991666666667,4.06083333333333,122.933333333333
"3535606",2003,"Mata Atlantica",0,0,65.1925,4.75833333333333,28.6416666666667,18.7583333333333,4.1025,124.275
"3535705",2003,"Mata Atlantica",0,0,83.6208333333333,5.48333333333333,23.9625,18.5016666666667,4.13666666666667,126.168333333333
"3535804",2003,"Cerrado",0,0,84.7775,5.73333333333333,23.9325,18.875,4.12583333333333,124.995833333333
"3535903",2003,"Mata Atlantica",0,0,64.4858333333333,4.475,29.435,19.7391666666667,3.98583333333333,120.598333333333
"3536000",2003,"Mata Atlantica",0,0,72.6183333333333,4.45833333333333,25.8291666666667,19.6375,3.83166666666667,116.023333333333
"3536109",2003,"Mata Atlantica",0,0,73.6583333333333,4.85833333333333,25.2183333333333,19.8658333333333,3.95583333333333,119.846666666667
"3536257",2003,"Mata Atlantica",0,0,70.6791666666667,4.65833333333333,26.7683333333333,19.6266666666667,3.98916666666667,121.5925
